board_id,current_a,measured_role,relative_time_s,sample_index
f5ea5fa8fcfa5209,0.0011824809,initiator,2.34,117
f5ea5fa8fcfa5209,0.0012246572,initiator,2.36,118
f5ea5fa8fcfa5209,0.00112392369,initiator,2.38,119
f5ea5fa8fcfa5209,0.00118353149,initiator,2.4,120
f5ea5fa8fcfa5209,0.00120655995,initiator,2.42,121
f5ea5fa8fcfa5209,0.00111508282,initiator,2.44,122
f5ea5fa8fcfa5209,0.00120676343,initiator,2.46,123
f5ea5fa8fcfa5209,0.00119296543,initiator,2.48,124
f5ea5fa8fcfa5209,0.0011130586,initiator,2.5,125
f5ea5fa8fcfa5209,0.00114899477,initiator,2.52,126
f5ea5fa8fcfa5209,0.00115371405,initiator,2.54,127
f5ea5fa8fcfa5209,0.001066582,initiator,2.56,128
f5ea5fa8fcfa5209,0.00111158497,initiator,2.58,129
f5ea5fa8fcfa5209,0.00115801897,initiator,2.6,130
f5ea5fa8fcfa5209,0.00109527535,initiator,2.62,131
f5ea5fa8fcfa5209,0.00115557113,initiator,2.64,132
f5ea5fa8fcfa5209,0.00121056487,initiator,2.66,133
f5ea5fa8fcfa5209,0.00111409831,initiator,2.68,134
f5ea5fa8fcfa5209,0.00116528898,initiator,2.7,135
f5ea5fa8fcfa5209,0.00120694364,initiator,2.72,136
f5ea5fa8fcfa5209,0.00111534868,initiator,2.74,137
f5ea5fa8fcfa5209,0.00116817282,initiator,2.76,138
f5ea5fa8fcfa5209,0.00120390864,initiator,2.78,139
f5ea5fa8fcfa5209,0.0011234172,initiator,2.8,140
f5ea5fa8fcfa5209,0.00114511277,initiator,2.82,141
f5ea5fa8fcfa5209,0.00120353028,initiator,2.84,142
f5ea5fa8fcfa5209,0.00113734957,initiator,2.86,143
f5ea5fa8fcfa5209,0.00113902865,initiator,2.88,144
f5ea5fa8fcfa5209,0.00121330866,initiator,2.9,145
f5ea5fa8fcfa5209,0.00111595725,initiator,2.92,146
f5ea5fa8fcfa5209,0.00113182692,initiator,2.94,147
f5ea5fa8fcfa5209,0.00122830159,initiator,2.96,148
f5ea5fa8fcfa5209,0.00112166057,initiator,2.98,149
f5ea5fa8fcfa5209,0.00116081947,initiator,3,150
f5ea5fa8fcfa5209,0.00121278863,initiator,3.02,151
f5ea5fa8fcfa5209,0.0011230555,initiator,3.04,152
f5ea5fa8fcfa5209,0.00113852135,initiator,3.06,153
f5ea5fa8fcfa5209,0.0012023004,initiator,3.08,154
f5ea5fa8fcfa5209,0.00112247042,initiator,3.1,155
f5ea5fa8fcfa5209,0.00111424044,initiator,3.12,156
f5ea5fa8fcfa5209,0.00120034794,initiator,3.14,157
f5ea5fa8fcfa5209,0.00113342567,initiator,3.16,158
f5ea5fa8fcfa5209,0.00111030636,initiator,3.18,159
f5ea5fa8fcfa5209,0.00121169313,initiator,3.2,160
f5ea5fa8fcfa5209,0.00107900058,initiator,3.22,161
f5ea5fa8fcfa5209,0.00104953036,initiator,3.24,162
f5ea5fa8fcfa5209,0.00115172467,initiator,3.26,163
f5ea5fa8fcfa5209,0.00105139034,initiator,3.28,164
f5ea5fa8fcfa5209,0.00104971231,initiator,3.3,165
f5ea5fa8fcfa5209,0.00117668163,initiator,3.32,166
f5ea5fa8fcfa5209,0.00109619643,initiator,3.34,167
f5ea5fa8fcfa5209,0.00110820957,initiator,3.36,168
