run_id,pair_id,board_id,event_path,role,trial_id,stage,duration_ms,source_file,source_line
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,local_step_2_update,16.925000,results\COM10_2026_09_15.14.13.01.333.txt,163
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,7,end_to_end,3540.428000,results\COM10_2026_09_15.14.13.01.333.txt,164
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,local_step_1_encoder,1740.757000,results\COM10_2026_09_15.14.13.01.333.txt,166
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,local_step_1_head_forward_backward,12.368000,results\COM10_2026_09_15.14.13.01.333.txt,167
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,local_step_1_update,16.999000,results\COM10_2026_09_15.14.13.01.333.txt,168
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,local_step_2_encoder,1740.472000,results\COM10_2026_09_15.14.13.01.333.txt,169
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,local_step_2_head_forward_backward,12.334000,results\COM10_2026_09_15.14.13.01.333.txt,170
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,local_step_2_update,16.988000,results\COM10_2026_09_15.14.13.01.333.txt,171
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,8,end_to_end,3539.947000,results\COM10_2026_09_15.14.13.01.333.txt,172
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,local_step_1_encoder,1740.493000,results\COM10_2026_09_15.14.13.01.333.txt,174
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,local_step_1_head_forward_backward,12.171000,results\COM10_2026_09_15.14.13.01.333.txt,175
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,local_step_1_update,17.162000,results\COM10_2026_09_15.14.13.01.333.txt,176
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,local_step_2_encoder,1740.602000,results\COM10_2026_09_15.14.13.01.333.txt,177
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,local_step_2_head_forward_backward,12.174000,results\COM10_2026_09_15.14.13.01.333.txt,178
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,local_step_2_update,16.763000,results\COM10_2026_09_15.14.13.01.333.txt,179
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,9,end_to_end,3539.393000,results\COM10_2026_09_15.14.13.01.333.txt,180
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,local_step_1_encoder,1740.516000,results\COM10_2026_09_15.14.13.01.333.txt,182
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,local_step_1_head_forward_backward,12.352000,results\COM10_2026_09_15.14.13.01.333.txt,183
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,local_step_1_update,17.011000,results\COM10_2026_09_15.14.13.01.333.txt,184
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,local_step_2_encoder,1740.169000,results\COM10_2026_09_15.14.13.01.333.txt,185
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,local_step_2_head_forward_backward,12.342000,results\COM10_2026_09_15.14.13.01.333.txt,186
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,local_step_2_update,17.005000,results\COM10_2026_09_15.14.13.01.333.txt,187
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,10,end_to_end,3539.424000,results\COM10_2026_09_15.14.13.01.333.txt,188
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,local_step_1_encoder,1740.523000,results\COM10_2026_09_15.14.13.01.333.txt,190
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,local_step_1_head_forward_backward,12.383000,results\COM10_2026_09_15.14.13.01.333.txt,191
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,local_step_1_update,16.986000,results\COM10_2026_09_15.14.13.01.333.txt,192
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,local_step_2_encoder,1740.552000,results\COM10_2026_09_15.14.13.01.333.txt,193
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,local_step_2_head_forward_backward,12.637000,results\COM10_2026_09_15.14.13.01.333.txt,194
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,local_step_2_update,16.673000,results\COM10_2026_09_15.14.13.01.333.txt,195
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,11,end_to_end,3539.783000,results\COM10_2026_09_15.14.13.01.333.txt,196
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,local_step_1_encoder,1741.036000,results\COM10_2026_09_15.14.13.01.333.txt,198
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,local_step_1_head_forward_backward,12.255000,results\COM10_2026_09_15.14.13.01.333.txt,199
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,local_step_1_update,16.871000,results\COM10_2026_09_15.14.13.01.333.txt,200
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,local_step_2_encoder,1741.218000,results\COM10_2026_09_15.14.13.01.333.txt,201
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,local_step_2_head_forward_backward,12.447000,results\COM10_2026_09_15.14.13.01.333.txt,202
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,local_step_2_update,16.937000,results\COM10_2026_09_15.14.13.01.333.txt,203
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,12,end_to_end,3540.793000,results\COM10_2026_09_15.14.13.01.333.txt,204
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,local_step_1_encoder,1740.638000,results\COM10_2026_09_15.14.13.01.333.txt,206
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,local_step_1_head_forward_backward,12.178000,results\COM10_2026_09_15.14.13.01.333.txt,207
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,local_step_1_update,17.263000,results\COM10_2026_09_15.14.13.01.333.txt,208
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,local_step_2_encoder,1740.647000,results\COM10_2026_09_15.14.13.01.333.txt,209
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,local_step_2_head_forward_backward,12.432000,results\COM10_2026_09_15.14.13.01.333.txt,210
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,local_step_2_update,16.875000,results\COM10_2026_09_15.14.13.01.333.txt,211
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,13,end_to_end,3540.060000,results\COM10_2026_09_15.14.13.01.333.txt,212
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,local_step_1_encoder,1741.281000,results\COM10_2026_09_15.14.13.01.333.txt,214
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,local_step_1_head_forward_backward,12.165000,results\COM10_2026_09_15.14.13.01.333.txt,215
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,local_step_1_update,17.010000,results\COM10_2026_09_15.14.13.01.333.txt,216
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,local_step_2_encoder,1740.816000,results\COM10_2026_09_15.14.13.01.333.txt,217
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,local_step_2_head_forward_backward,12.273000,results\COM10_2026_09_15.14.13.01.333.txt,218
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,local_step_2_update,16.935000,results\COM10_2026_09_15.14.13.01.333.txt,219
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,14,end_to_end,3540.509000,results\COM10_2026_09_15.14.13.01.333.txt,220
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,local_step_1_encoder,1740.951000,results\COM10_2026_09_15.14.13.01.333.txt,222
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,local_step_1_head_forward_backward,12.349000,results\COM10_2026_09_15.14.13.01.333.txt,223
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,local_step_1_update,17.087000,results\COM10_2026_09_15.14.13.01.333.txt,224
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,local_step_2_encoder,1740.686000,results\COM10_2026_09_15.14.13.01.333.txt,225
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,local_step_2_head_forward_backward,12.595000,results\COM10_2026_09_15.14.13.01.333.txt,226
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,local_step_2_update,16.682000,results\COM10_2026_09_15.14.13.01.333.txt,227
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,15,end_to_end,3540.381000,results\COM10_2026_09_15.14.13.01.333.txt,228
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,local_step_1_encoder,1740.814000,results\COM10_2026_09_15.14.13.01.333.txt,230
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,local_step_1_head_forward_backward,12.379000,results\COM10_2026_09_15.14.13.01.333.txt,231
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,local_step_1_update,16.996000,results\COM10_2026_09_15.14.13.01.333.txt,232
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,local_step_2_encoder,1740.337000,results\COM10_2026_09_15.14.13.01.333.txt,233
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,local_step_2_head_forward_backward,12.379000,results\COM10_2026_09_15.14.13.01.333.txt,234
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,local_step_2_update,16.922000,results\COM10_2026_09_15.14.13.01.333.txt,235
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,16,end_to_end,3539.856000,results\COM10_2026_09_15.14.13.01.333.txt,236
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,17,local_step_1_encoder,1740.232000,results\COM10_2026_09_15.14.13.01.333.txt,238
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,17,local_step_1_head_forward_backward,12.210000,results\COM10_2026_09_15.14.13.01.333.txt,239
p01-latency-r01,p01,f5ea5fa8fcfa5209,local,local,17,local_step_1_update,17.212000,results\COM10_2026_09_15.14.13.01.333.txt,240
