dataset,mobility,algorithm,metric,mean,std,runs
sisfall,edge_markov_sparse,oppavg,macro_f1,0.8060160117025402,0.004482675716271437,12
sisfall,edge_markov_sparse,oppfl,accuracy,0.8433415556947391,0.004434091608069375,12
sisfall,edge_markov_sparse,oppfl,loss,0.2810829530547683,0.15328971321381085,12
sisfall,edge_markov_sparse,oppfl,macro_f1,0.7399981030089902,0.004624221126927748,12
sisfall,edge_markov_sparse,optimist,accuracy,0.8526397123932838,0.009914486867608662,12
sisfall,edge_markov_sparse,optimist,loss,0.3590199655542771,0.09823498817932853,12
sisfall,edge_markov_sparse,optimist,macro_f1,0.7489686521776863,0.00715582682836234,12
sisfall,edge_markov_sparse,pulse,accuracy,0.9097899600863456,0.006159088687670128,12
sisfall,edge_markov_sparse,pulse,loss,0.19571168569624808,0.041224831327666224,12
sisfall,edge_markov_sparse,pulse,macro_f1,0.8064631584189689,0.005955375599117698,12
sisfall,cambridge,local,accuracy,0.921441701054573,0.0072612105258755295,4
sisfall,cambridge,local,loss,0.08666354913166283,0.030136406822386518,4
sisfall,cambridge,local,macro_f1,0.8192283658640247,0.007570036204902111,4
sisfall,cambridge,oppavg,accuracy,0.9211798056960105,0.006431487926976215,4
sisfall,cambridge,oppavg,loss,0.09065489571403301,0.02951968990159683,4
sisfall,cambridge,oppavg,macro_f1,0.8187777192697577,0.006884987722932857,4
sisfall,cambridge,oppfl,accuracy,0.8472426414489747,0.005545271356141589,4
sisfall,cambridge,oppfl,loss,0.19925210904330015,0.11002934514888,4
sisfall,cambridge,oppfl,macro_f1,0.7436970280844759,0.004533285313192778,4
sisfall,cambridge,optimist,accuracy,0.8365855842828751,0.00946894700865721,4
sisfall,cambridge,optimist,loss,0.30668081622570753,0.06339731814222697,4
sisfall,cambridge,optimist,macro_f1,0.7392786272387595,0.00811167109734579,4
sisfall,cambridge,pulse,accuracy,0.9197046041488648,0.004181016034457027,4
sisfall,cambridge,pulse,loss,0.07728137352669359,0.010825797317594416,4
sisfall,cambridge,pulse,macro_f1,0.8172511924962719,0.004550260307960383,4
wesad,community_dense,local,accuracy,0.9454545557498931,0.011629130329608602,12
wesad,community_dense,local,loss,0.10137833196204153,0.017190868678432284,12
wesad,community_dense,local,macro_f1,0.8663148888148888,0.0367529412326698,12
wesad,community_dense,oppavg,accuracy,0.931818191210429,0.008223033021549262,12
wesad,community_dense,oppavg,loss,0.08655585981129355,0.01040604923324167,12
wesad,community_dense,oppavg,macro_f1,0.8477728317434199,0.01695905763598433,12
wesad,community_dense,oppfl,accuracy,0.8636363732318083,0.03510208366973083,12
wesad,community_dense,oppfl,loss,0.20709316049933904,0.035948785764794024,12
wesad,community_dense,oppfl,macro_f1,0.7463056447002526,0.047381078746412945,12
wesad,community_dense,optimist,accuracy,0.8750000076989334,0.02929807424634404,12
wesad,community_dense,optimist,loss,0.19919486294707486,0.033341167484560716,12
wesad,community_dense,optimist,macro_f1,0.7715553072706065,0.04256466894611514,12
wesad,community_dense,pulse,accuracy,0.9484848588705063,0.019510666813709106,12
wesad,community_dense,pulse,loss,0.03827414210706285,0.03232497116948836,12
