image,memory,category,section,address,bytes,object,source_file,source_sha256
pulse,static_ram,protocol_buffers,.bss.sc_restore_params,0x2001c530,24,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.cf_cfg,0x2001c548,16,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.sc_cfg,0x2001c558,12,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.gatt_flags,0x2001c564,4,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.subscriptions,0x2001c568,16,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(gatt.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,.bss.bt_smp_pool,0x2001c578,72,zephyr/subsys/bluetooth/host/libsubsys__bluetooth__host.a(smp_null.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.started_ref,0x2001c5c0,4,zephyr/subsys/timing/libsubsys__timing.a(timing.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.cli.1,0x2001c5c4,16,zephyr/drivers/clock_control/libdrivers__clock_control.a(clock_control_nrf.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.on.2,0x2001c5d4,4,zephyr/drivers/clock_control/libdrivers__clock_control.a(clock_control_nrf.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.data,0x2001c5d8,80,zephyr/drivers/clock_control/libdrivers__clock_control.a(clock_control_nrf.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.hfclk_users,0x2001c628,4,zephyr/drivers/clock_control/libdrivers__clock_control.a(clock_control_nrf.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.gpio_nrfx_p2_data,0x2001c62c,12,zephyr/drivers/gpio/libdrivers__gpio.a(gpio_nrfx.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.gpio_nrfx_p1_data,0x2001c638,12,zephyr/drivers/gpio/libdrivers__gpio.a(gpio_nrfx.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.gpio_nrfx_p0_data,0x2001c644,12,zephyr/drivers/gpio/libdrivers__gpio.a(gpio_nrfx.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,.bss.uarte_30_data,0x2001c650,8,zephyr/drivers/serial/libdrivers__serial.a(uart_nrfx_uarte.c.obj),results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
